timestamp,ip,protocol,port,hostname,tag,asn,geo,region,city,naics,sic,opcode,reported_hostname,status,size
8/1/2020 3:00,14.225.5.38,udp,177,,xdmcp,135905,VN,HA NOI,HANOI,517311,,Willing,home365_02,Linux 2.6.32-504.el6.x86_64,49
8/1/2020 3:06,123.30.52.46,udp,177,vnptnet.vn,xdmcp,45899,VN,HA NOI,HANOI,517311,,Willing,cachedns27,"0 user,  load: 0.8, 0.4, 0.3",50
8/1/2020 3:07,203.162.92.142,udp,177,static.vnpt.vn,xdmcp,45899,VN,HA NOI,HANOI,517311,,Willing,VNPMD01,"0 user,  load: 0.4, 0.4, 0.4",47
8/1/2020 3:09,1.55.144.239,udp,177,,xdmcp,18403,VN,KHANH HOA,NHA TRANG,517311,,Willing,vofs00,Linux 3.10.0-862.el7.x86_64,45
8/1/2020 3:11,203.162.233.199,udp,177,static.vnpt.vn,xdmcp,45899,VN,HA NOI,HANOI,517311,,Willing,ans,"0 user,  load: 1.0, 1.0, 1.0",43
8/1/2020 3:11,123.30.52.80,udp,177,,xdmcp,45899,VN,HA NOI,HANOI,517311,,Willing,cachingdns80,"0 user,  load: 3.0, 3.0, 3.0",52
8/1/2020 3:12,203.162.4.111,udp,177,hcm-111.vnn.vn,xdmcp,45899,VN,HA NOI,HANOI,517311,,Willing,hcm-111,"0 user,  load: 0.5, 0.5, 0.5",47
8/1/2020 3:12,123.30.52.40,udp,177,vnptnet.vn,xdmcp,45899,VN,HA NOI,HANOI,517311,,Willing,cachedns21,"0 user,  load: 0.4, 0.4, 0.4",50
8/1/2020 3:26,123.30.52.51,udp,177,vnptnet.vn,xdmcp,45899,VN,HA NOI,HANOI,517311,,Willing,cachednszone2,"0 user,  load: 0.2, 0.2, 0.3",53
8/1/2020 3:26,123.30.52.22,udp,177,vnptnet.vn,xdmcp,45899,VN,HA NOI,HANOI,517311,,Willing,my-zone4,"0 user,  load: 0.3, 0.3, 0.3",48
8/1/2020 3:30,203.162.4.221,udp,177,,xdmcp,45899,VN,HA NOI,HANOI,517311,,Willing,hcm-221,"0 user,  load: 0.5, 0.5, 0.5",47
8/1/2020 3:36,183.91.16.70,udp,177,hcm.ns1.cmcti.vn,xdmcp,45903,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,,Willing,bnx0,"0 user,  load: 0.6, 0.6, 0.6",44
8/1/2020 3:36,123.30.52.33,udp,177,vnptnet.vn,xdmcp,45899,VN,HA NOI,HANOI,517311,,Willing,cachingdns30,"0 user,  load: 0.2, 0.2, 0.2",52
8/1/2020 3:41,123.30.52.34,udp,177,vnptnet.vn,xdmcp,45899,VN,HA NOI,HANOI,517311,,Willing,cachingdns32,"0 user,  load: 0.1, 0.2, 0.2",52
8/1/2020 3:49,123.30.52.53,udp,177,vnptnet.vn,xdmcp,45899,VN,HA NOI,HANOI,517311,,Willing,cachednszone4,"0 user,  load: 0.5, 0.4, 0.4",53
8/1/2020 3:58,123.30.52.30,udp,177,,xdmcp,45899,VN,HA NOI,HANOI,517311,,Willing,my-zone4,"0 user,  load: 0.6, 0.7, 0.5",48
8/1/2020 4:02,222.255.124.87,udp,177,,xdmcp,45899,VN,HA NOI,HANOI,517311,,Willing,hcm-cp86,"1 user,  load: 0.1, 0.1, 0.1",48
