timestamp,ip,protocol,port,hostname,tag,dns_version,asn,geo,region,city,min_amplification,p0f_genre,p0f_detail,naics,sic,sector
8/1/2020 0:17,113.190.227.92,udp,53,static.vnpt-hanoi.com.vn,openresolver,dnsmasq-2.49,45899,VN,HA NOI,HANOI,1.381,,,517311,,Communications
8/1/2020 0:17,113.173.128.96,udp,53,static.vnpt.vn,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:17,123.21.227.213,udp,53,,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:17,123.20.254.199,udp,53,,openresolver,,45899,VN,HA NOI,HANOI,1.381,,,517311,,Communications
8/1/2020 0:17,115.146.120.156,udp,53,,openresolver,,38732,VN,HA NOI,HANOI,1.381,,,0,,Communications
8/1/2020 0:17,222.254.162.90,udp,53,static.vnpt.vn,openresolver,dnsmasq-2.49,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.6429,,,517311,,Communications
8/1/2020 0:17,113.161.84.122,udp,53,mail.khangthong.vn,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:17,123.25.59.187,udp,53,static.vdc.vn,openresolver,,45899,VN,HAI DUONG,HAI DUONG,1.381,,,517311,,Communications
8/1/2020 0:17,14.169.241.40,udp,53,,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:17,116.111.137.190,udp,53,,openresolver,,24086,VN,LAM DONG,DA LAT,3.8095,,,517312,,Communications
8/1/2020 0:17,115.79.45.193,udp,53,,openresolver,,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517312,,Communications
8/1/2020 0:17,42.112.120.213,udp,53,,openresolver,,18403,VN,BAC NINH,BAC NINH,1.381,,,517311,,Communications
8/1/2020 0:17,116.98.197.72,udp,53,,openresolver,,24086,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517312,,Communications
8/1/2020 0:17,117.2.81.109,udp,53,localhost,openresolver,,7552,VN,LAM DONG,DA LAT,6.4048,,,517312,,Communications
8/1/2020 0:17,116.109.172.227,udp,53,,openresolver,,24086,VN,HA NOI,HANOI,3.0476,,,517312,,Communications
8/1/2020 0:17,171.248.71.203,udp,53,dynamic-ip-adsl.viettel.vn,openresolver,,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,2.6667,,,517312,,Communications
8/1/2020 0:17,123.21.180.17,udp,53,,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:17,101.99.15.155,udp,53,static.cmcti.vn,openresolver,,45903,VN,HA NOI,HANOI,1.381,,,0,,Communications
8/1/2020 0:17,14.231.17.103,udp,53,static.vnpt.vn,openresolver,,45899,VN,HA NOI,HANOI,1.381,,,517311,,Communications
8/1/2020 0:17,14.248.156.68,udp,53,static.vnpt.vn,openresolver,,45899,VN,HA NOI,HANOI,1.381,,,517311,,Communications
8/1/2020 0:17,123.21.31.87,udp,53,,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:17,113.161.239.169,udp,53,static.vnpt.vn,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:17,123.25.72.3,udp,53,static.vdc.vn,openresolver,,45899,VN,HA NOI,HANOI,1.381,,,517311,,Communications
8/1/2020 0:17,223.27.108.223,udp,53,,openresolver,,56146,VN,HA NOI,HANOI,1.381,,,0,,Communications
8/1/2020 0:17,116.104.112.121,udp,53,dynamic-ip-adsl.viettel.vn,openresolver,,7552,VN,NGHE AN,VINH,3.8095,,,517312,,Communications
8/1/2020 0:17,14.177.135.128,udp,53,static.vnpt.vn,openresolver,,45899,VN,HA NOI,HANOI,1.381,,,517311,,Communications
8/1/2020 0:17,116.118.36.21,udp,53,,openresolver,,7602,VN,HO CHI MINH,THANH PHO HO CHI MINH,3.8095,,,0,,Communications
8/1/2020 0:17,113.170.128.106,udp,53,static.vnpt.vn,openresolver,,45899,VN,TAY NINH,TAY NINH,1.381,,,517311,,Communications
8/1/2020 0:17,14.186.143.223,udp,53,static.vnpt.vn,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:17,14.177.252.78,udp,53,static.vnpt.vn,openresolver,,45899,VN,HA NOI,HANOI,1.381,,,517311,,Communications
8/1/2020 0:17,221.121.0.120,udp,53,,openresolver,,7602,VN,HO CHI MINH,THANH PHO HO CHI MINH,3.8095,,,0,,Communications
8/1/2020 0:17,14.177.60.189,udp,53,static.vnpt.vn,openresolver,,45899,VN,HA NOI,HANOI,1.381,,,517311,,Communications
8/1/2020 0:17,113.22.25.234,udp,53,,openresolver,,18403,VN,HA NOI,HANOI,6.4048,,,517311,,Communications
8/1/2020 0:17,113.161.176.212,udp,53,static.vnpt.vn,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:17,203.205.28.246,udp,53,static.cmcti.vn,openresolver,,45903,VN,HO CHI MINH,THANH PHO HO CHI MINH,3.8095,,,0,,Communications
8/1/2020 0:17,27.76.50.107,udp,53,localhost,openresolver,,7552,VN,HA NOI,HANOI,1.381,,,517312,,Communications
8/1/2020 0:17,14.232.142.155,udp,53,static.vnpt.vn,openresolver,,45899,VN,HA NOI,HANOI,1.381,,,517311,,Communications
8/1/2020 0:17,116.103.136.154,udp,53,,openresolver,,24086,VN,HA NOI,HANOI,3.8095,,,517312,,Communications
8/1/2020 0:17,113.190.130.249,udp,53,static.vnpt.vn,openresolver,dnsmasq-2.49,45899,VN,HA NOI,HANOI,1.381,,,517311,,Communications
8/1/2020 0:17,115.73.209.179,udp,53,,openresolver,,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,3.0476,,,517312,,Communications
8/1/2020 0:17,113.160.225.108,udp,53,static.vnpt.vn,openresolver,,45899,VN,DA NANG,DA NANG,6.4048,,,517311,,Communications
8/1/2020 0:17,14.226.231.245,udp,53,static.vnpt.vn,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:17,116.98.198.238,udp,53,dynamic-adsl.viettel.vn,openresolver,,24086,VN,HA NOI,HANOI,3.8095,,,517312,,Communications
8/1/2020 0:17,14.187.168.229,udp,53,static.vnpt.vn,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:17,116.97.30.54,udp,53,dynamic-ip-adsl.viettel.vn,openresolver,,7552,VN,NGHE AN,VINH,3.8095,,,517312,,Communications
8/1/2020 0:17,113.172.214.191,udp,53,static.vnpt.vn,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.9524,,,517311,,Communications
8/1/2020 0:17,180.148.134.20,udp,53,,openresolver,,45894,VN,HA NOI,HANOI,3.4762,,,517311,,Communications
8/1/2020 0:17,113.160.100.126,udp,53,static.vnpt.vn,openresolver,,45899,VN,HAI PHONG,HAI PHONG,1.381,,,517311,,Communications
8/1/2020 0:17,14.186.114.215,udp,53,static.vnpt.vn,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:17,123.20.231.63,udp,53,,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:17,171.244.40.140,udp,53,,openresolver,,38731,VN,HUNG YEN,HUNG YEN,1.381,,,517312,,Communications
8/1/2020 0:17,116.103.129.81,udp,53,,openresolver,,24086,VN,HO CHI MINH,THANH PHO HO CHI MINH,3.8095,,,517312,,Communications
8/1/2020 0:17,118.70.117.248,udp,53,,openresolver,,18403,VN,HA NOI,HANOI,1.381,,,517311,,Communications
8/1/2020 0:17,1.52.78.243,udp,53,,openresolver,,18403,VN,HA NOI,HANOI,1.381,,,517311,,Communications
8/1/2020 0:17,113.168.137.202,udp,53,static.vnpt.vn,openresolver,dnsmasq-2.49,45899,VN,HA NOI,HANOI,1.381,,,517311,,Communications
8/1/2020 0:17,42.116.72.217,udp,53,,openresolver,,18403,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:17,14.161.32.9,udp,53,static.vnpt.vn,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:17,123.20.235.19,udp,53,,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:17,123.20.7.31,udp,53,,openresolver,dnsmasq-2.49,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:17,118.70.175.243,udp,53,,openresolver,,18403,VN,HA NOI,HANOI,1.381,,,517311,,Communications
8/1/2020 0:17,123.20.136.252,udp,53,,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:17,113.173.69.166,udp,53,static.vnpt.vn,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:17,113.162.247.176,udp,53,dynamic.vdc.vn,openresolver,,45899,VN,LANG SON,LANG SON,1.381,,,517311,,Communications
8/1/2020 0:17,183.81.92.18,udp,53,,openresolver,,18403,VN,HA NOI,HANOI,1.381,,,517311,,Communications
8/1/2020 0:17,123.21.104.231,udp,53,,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.9524,,,517311,,Communications
8/1/2020 0:17,14.187.164.241,udp,53,static.vnpt.vn,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:17,103.28.37.100,udp,53,,openresolver,,131353,VN,HA NOI,HANOI,1.381,,,0,,Communications
8/1/2020 0:17,14.186.88.105,udp,53,static.vnpt.vn,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:17,115.78.13.189,udp,53,,openresolver,,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517312,,Communications
8/1/2020 0:17,14.169.121.212,udp,53,static.vnpt.vn,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:17,14.186.20.150,udp,53,static.vnpt.vn,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:17,14.187.237.216,udp,53,static.vnpt.vn,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:17,14.226.224.20,udp,53,static.vnpt.vn,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:17,113.161.55.125,udp,53,static.vnpt.vn,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:17,125.212.214.73,udp,53,,openresolver,,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517312,,Communications
8/1/2020 0:17,103.146.22.188,udp,53,,openresolver,,131366,VN,HA NOI,HANOI,1.381,,,0,,Communications
8/1/2020 0:17,183.81.73.151,udp,53,,openresolver,,18403,VN,HA NOI,HANOI,1.381,,,517311,,Communications
8/1/2020 0:17,1.54.89.150,udp,53,,openresolver,,18403,VN,HA NOI,HANOI,1.381,,,517311,,Communications
8/1/2020 0:17,113.161.55.152,udp,53,static.vnpt.vn,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:17,210.245.110.227,udp,53,,openresolver,,18403,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:17,118.71.83.6,udp,53,ip-address-pool-xxx.fpt.vn,openresolver,,18403,VN,BA RIA-VUNG TAU,VUNG TAU,1.381,,,517311,,Communications
8/1/2020 0:17,14.186.142.248,udp,53,static.vnpt.vn,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:17,123.20.222.156,udp,53,,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:17,113.160.3.150,udp,53,,openresolver,,45899,VN,HA NOI,HANOI,1.381,,,517311,,Communications
8/1/2020 0:17,14.169.38.42,udp,53,static.vnpt.vn,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:17,14.171.59.178,udp,53,static.vnpt.vn,openresolver,,45899,VN,THAI NGUYEN,THAI NGUYEN,1.381,,,517311,,Communications
8/1/2020 0:17,115.77.190.91,udp,53,,openresolver,,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517312,,Communications
8/1/2020 0:17,171.240.17.219,udp,53,dynamic-ip-adsl.viettel.vn,openresolver,,7552,VN,BAC NINH,BAC NINH,1.381,,,517312,,Communications
8/1/2020 0:17,113.173.196.247,udp,53,static.vnpt.vn,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:17,123.20.227.5,udp,53,,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:17,118.68.161.159,udp,53,,openresolver,,18403,VN,KHANH HOA,NHA TRANG,6.4048,,,517311,,Communications
8/1/2020 0:17,14.186.116.88,udp,53,static.vnpt.vn,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:17,113.161.85.50,udp,53,static.vnpt.vn,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:17,42.116.136.247,udp,53,,openresolver,,18403,VN,HA NOI,HANOI,1.381,,,517311,,Communications
8/1/2020 0:17,14.186.213.67,udp,53,static.vnpt.vn,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:17,51.81.30.101,udp,53,ip101.ip-51-81-30.us,openresolver,,16276,VN,HA NOI,HANOI,1.381,,,518210,,
8/1/2020 0:17,116.98.203.227,udp,53,dynamic-ip-adsl.viettel.vn,openresolver,,24086,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517312,,Communications
8/1/2020 0:17,27.79.43.114,udp,53,localhost,openresolver,,7552,VN,HA NOI,HANOI,1.381,,,517312,,Communications
8/1/2020 0:18,123.20.212.110,udp,53,,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:18,117.3.227.178,udp,53,,openresolver,,7552,VN,KON TUM,KON TUM,3.8095,,,517312,,Communications
8/1/2020 0:18,27.74.254.58,udp,53,,openresolver,,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517312,,Communications
8/1/2020 0:18,123.21.179.100,udp,53,localhost,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:18,14.225.11.85,udp,53,static.vnpt.vn,openresolver,,135905,VN,HA NOI,HANOI,1.381,,,517311,,Communications
8/1/2020 0:18,222.254.3.120,udp,53,static.vnpt.vn,openresolver,,45899,VN,HA NOI,HANOI,1.381,,,517311,,Communications
8/1/2020 0:18,42.117.47.35,udp,53,,openresolver,,18403,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:18,113.162.227.53,udp,53,static.vnpt.vn,openresolver,,45899,VN,LONG AN,LONG AN,1.381,,,517311,,Communications
8/1/2020 0:18,113.161.244.226,udp,53,static.vnpt.vn,openresolver,,45899,VN,LONG AN,BEN LUC,1.381,,,517311,,Communications
