"timestamp","src_ip","src_asn","src_geo","src_region","src_port","dst_ip","dst_asn","dst_geo","dst_region","dst_port","protocol","tag","hostname","sysdesc","sysname","http_url","http_agent","http_host","http_referer","http_referer_ip","http_referer_asn","http_referer_geo","http_referer_region","forwarded_by","ssl_cipher"
"2020-08-01 10:33:15","2402:800:61aa:8a02:a502:f92c:5b8e:ce50",7552,"VN","HA NOI",52663,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"ghost-push",,,,"POST /okla/api/1 HTTP/1.1",,"k.omkol.com",,,,,,,
"2020-08-01 10:40:58","2402:800:411a:cbe9:680c:db5:628:afaf",7552,"VN","HA NOI",52647,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"sality",,,,"GET /t_100_v400/?rnd=1118494859&id=164193392145694 HTTP/1.1","KUKU v4.00 alpha","www.g1ikddcvns3sdsal.info",,,,,,,
"2020-08-01 10:41:51","2402:800:61c5:dad3:3191:12d0:91f8:f307",7552,"VN","HA NOI",59119,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"ghost-push",,,,"POST /agp/api/1/ HTTP/1.1",,"g.omlao.com",,,,,,,
"2020-08-01 10:47:13","2405:4800:72de:3940:197d:2023:c15f:4f49",18403,"VN","HA NOI",49655,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"sality",,,,"GET /home.gif?5baf5=375541 HTTP/1.0","Mozilla/4.0 (compatible; MSIE 7.0b; Windows NT 6.0)","kukutrustnet777.info",,,,,,,
"2020-08-01 11:00:34","2405:4800:206e:d3a8:1195:46da:9f33:68f",18403,"VN","HA NOI",55341,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"ghost-push",,,,"POST /okla/api/2 HTTP/1.1","Dalvik/1.6.0 (Linux; U; Android 4.2.2; ME173X Build/JDQ39)","mk.omkol.com",,,,,,,
"2020-08-01 11:02:05","2001:ee0:543d:3630:b85b:c1d:b995:5720",45899,"VN","DONG THAP",51582,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"tsifiri",,,,"GET /DATA HTTP/1.1","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0C; .NET4.0E; Tablet PC 2.0; HCTE; InfoPath.3)","0-0-0-0-0-1-1-1-0-0-1-0-0-1-1-1-0-0-0-0-1-1-0-1-1-1-1-1-1-1-1-.0-0-0-0-0-0-0-0-0-0-0-0-0-5-0-0-0-0-0-0-0-0-0-0-0-0-0.info",,,,,,,
"2020-08-01 11:18:14","2001:ee0:5715:11e0:7123:4256:db83:2183",45899,"VN","HA NOI",51793,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"tsifiri",,,,"GET /SYN HTTP/1.1","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E)","0-0-0-0-0-0-0-0-0-0-0-0-0-10-0-0-0-0-0-0-0-0-0-0-0-0-0.info",,,,,,,
"2020-08-01 11:24:33","2402:800:6343:dc7f:49a0:6f17:9a45:7177",7552,"VN","CAN THO",51300,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"tsifiri",,,,"GET /SYN HTTP/1.1","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0C; .NET4.0E; .NET CLR 2.0.50727; .NET CLR 3.0.30729; .NET CLR 3.5.30729; InfoPath.3)","0-0-0-0-0-0-0-0-0-0-0-0-0-10-0-0-0-0-0-0-0-0-0-0-0-0-0.info",,,,,,,
"2020-08-01 11:26:05","2402:800:6390:2648:19b9:bc12:2ddf:ac39",7552,"VN","CAN THO",54466,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"tsifiri",,,,"GET /VERSION.TXT HTTP/1.1","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0C; .NET4.0E; .NET CLR 2.0.50727; .NET CLR 3.0.30729; .NET CLR 3.5.30729; Zoom 3.6.0)","0-0-0-0-0-1-1-1-0-0-1-0-0-1-1-1-0-0-0-0-1-1-0-1-1-1-1-1-1-1-1-.0-0-0-0-0-0-0-0-0-0-0-0-0-5-0-0-0-0-0-0-0-0-0-0-0-0-0.info",,,,,,,
"2020-08-01 11:26:14","2405:4800:617f:1c3c:9c2a:85ad:d431:55b8",18403,"VN","HO CHI MINH",33506,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"kovter",,,,"GET /click/redirect?feed_id=11559&sub_id=7&q=3910B0E0263D4C755E444E699718D9B4-9EBA8F2F3C9F4C7503EDBCD32B85AD0ECDD3B8C9 HTTP/1.1","Mozilla/5.0 (Linux; Android 5.1.1; SM-G361H Build/LMY48B; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/55.0.2883.91 Mobile Safari/537.36","11559.mobapptrack.com",,,,,,,
"2020-08-01 11:28:10","2402:800:6344:9298:ec06:b2b5:b8ac:6a99",7552,"VN","HA NOI",49270,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"tsifiri",,,,"GET /DATA HTTP/1.1","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E)","0-0-0-0-0-1-1-1-0-0-1-0-0-1-1-1-0-0-0-0-1-1-0-1-1-1-1-1-1-1-1-.0-0-0-0-0-0-0-0-0-0-0-0-0-5-0-0-0-0-0-0-0-0-0-0-0-0-0.info",,,,,,,
"2020-08-01 11:28:27","2001:ee0:513f:9cb0:6985:bb8:2a:6f14",45899,"VN","HO CHI MINH",40583,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"kovter",,,,"GET /client.config/?app=pndr&format=json&advert_key=ZWMwMDBhMDEzZDAwMDQxZTAwMDAwNDMxMDAwNDMxMDAwNDMxYTE1NWQxZGQ5MQ==&version=2.3.4&ad=2.3.4&uid=25E62CB7372FA4B5A4F874D09D520300-8B8FCD39BC45C1EAF50659FA2A293AE842051D86 HTTP/1.1","Dalvik/1.6.0 (Linux; U; Android 4.4.2; N7105 Build/KOT49H)","11559.mobapptrack.com",,,,,,,
