"timestamp","ip","port","hostname","asn","geo","region","city","naics","sic","smb_implant","arch","key"
"2020-08-01 09:35:53","119.82.134.166",445,"static.cmcti.vn",45903,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,"N",,
"2020-08-01 09:35:54","103.90.235.97",445,,135917,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,"N",,
"2020-08-01 09:35:54","42.117.4.245",445,,18403,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"N",,
"2020-08-01 09:35:57","171.236.199.135",445,"dynamic-ip-adsl.viettel.vn",7552,"VN","HAI PHONG","HAI PHONG",517312,,"N",,
"2020-08-01 09:35:57","14.226.244.127",445,"static.vnpt.vn",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"N",,
"2020-08-01 09:35:59","103.70.28.120",445,,63761,"VN","HO CHI MINH","THANH PHO HO CHI MINH",333995,,"N",,
"2020-08-01 09:35:59","1.54.247.106",445,,18403,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"N",,
"2020-08-01 09:36:02","1.55.191.214",445,,18403,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:36:02","101.99.36.173",445,"static.cmcti.vn",45903,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,"N",,
"2020-08-01 09:36:03","171.239.135.109",445,"dynamic-adsl.viettel.vn",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,"N",,
"2020-08-01 09:36:04","171.243.8.5",445,"dynamic-ip-adsl.viettel.vn",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,"N",,
"2020-08-01 09:36:04","27.76.182.46",445,"localhost",7552,"VN","HA NOI","HANOI",517312,,"N",,
"2020-08-01 09:36:05","123.31.41.58",445,"static.vnpt.vn",135905,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:36:06","1.53.0.39",445,,18403,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"N",,
"2020-08-01 09:36:07","14.225.19.125",445,"static.vnpt.vn",135905,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:36:10","117.4.242.144",445,"localhost",7552,"VN","HA NOI","HANOI",517312,,"N",,
"2020-08-01 09:36:10","118.71.22.114",445,"ip-address-pool-xxx.fpt.vn",18403,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:36:11","112.109.90.99",445,,55309,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,"N",,
"2020-08-01 09:36:12","42.119.130.214",445,,18403,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:36:15","14.167.199.55",445,"static.vnpt.vn",45899,"VN","DONG NAI","BIEN HOA",517311,,"N",,
"2020-08-01 09:36:15","118.71.87.80",445,"ip-address-pool-xxx.fpt.vn",18403,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"N",,
"2020-08-01 09:36:16","118.69.244.47",445,,18403,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"N",,
"2020-08-01 09:36:16","27.74.247.48",445,"localhost",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,"N",,
"2020-08-01 09:36:16","118.70.125.141",445,,18403,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:36:17","113.164.31.81",445,"static.vnpt.vn",45899,"VN","BA RIA-VUNG TAU","VUNG TAU",517311,,"N",,
"2020-08-01 09:36:17","123.30.183.136",445,"static.vnpt.vn",45899,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:36:17","14.238.89.220",445,,45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"N",,
"2020-08-01 09:36:18","118.69.76.188",445,,18403,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"N",,
"2020-08-01 09:36:18","123.31.12.202",445,"static.vnpt.vn",135905,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:36:18","171.242.117.214",445,"dynamic-ip-adsl.viettel.vn",7552,"VN","NGHE AN","VINH",517312,,"N",,
"2020-08-01 09:36:18","14.225.7.145",445,"static.vnpt.vn",135905,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:36:19","42.115.32.32",445,,131178,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:36:20","103.141.143.213",445,,135981,"VN","DA NANG","DA NANG",0,,"N",,
"2020-08-01 09:36:20","203.162.235.25",445,"static.vnpt.vn",45899,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:36:21","14.177.88.69",445,"static.vnpt.vn",45899,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:36:22","222.252.243.3",445,"static.vnpt.vn",45899,"VN","QUANG TRI","QUANG TRI",517311,,"N",,
"2020-08-01 09:36:22","113.160.233.178",445,"static.vnpt.vn",45899,"VN","DA NANG","DA NANG",517311,,"N",,
"2020-08-01 09:36:22","14.167.87.50",445,"static.vnpt.vn",45899,"VN","GIA LAI","PLEIKU",517311,,"N",,
"2020-08-01 09:36:22","117.6.128.222",445,,7552,"VN","HA NOI","HANOI",517312,,"N",,
"2020-08-01 09:36:23","115.84.179.208",445,,38731,"VN","HA NOI","HANOI",0,,"N",,
"2020-08-01 09:36:24","14.250.214.211",445,"static.vnpt.vn",45899,"VN","DA NANG","DA NANG",517311,,"N",,
"2020-08-01 09:36:24","125.212.212.76",445,,7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,"N",,
"2020-08-01 09:36:26","14.161.40.54",445,,45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"N",,
"2020-08-01 09:36:26","123.30.107.7",445,"static.vnpt.vn",45899,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:36:28","113.160.205.181",445,,45899,"VN","HAI PHONG","HAI PHONG",517311,,"N",,
"2020-08-01 09:36:28","113.160.37.215",445,"static.vnpt-hanoi.com.vn",45899,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:36:33","27.72.100.156",445,,7552,"VN","HA NOI","HANOI",517312,,"N",,
"2020-08-01 09:36:33","125.212.243.141",445,,3873,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,"N",,
"2020-08-01 09:36:34","14.255.202.244",445,"static.vnpt.vn",45899,"VN","THAI BINH","THAI BINH",517311,,"N",,
"2020-08-01 09:36:34","123.21.89.177",445,,45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"N",,
"2020-08-01 09:36:35","125.212.228.246",445,,38731,"VN","HA NOI","HANOI",517312,,"N",,
"2020-08-01 09:36:35","116.102.189.149",445,,24086,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,"N",,
"2020-08-01 09:36:35","45.125.200.2",445,,45896,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,"N",,
"2020-08-01 09:36:35","115.79.44.44",445,,7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,"N",,
"2020-08-01 09:36:36","1.53.139.249",445,,18403,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"N",,
"2020-08-01 09:36:36","14.241.75.22",445,"static.vnpt.vn",45899,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:36:36","14.248.149.72",445,"static.vnpt.vn",45899,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:36:38","118.107.114.25",445,,38726,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,"N",,
"2020-08-01 09:36:38","27.71.233.137",445,,7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,"N",,
"2020-08-01 09:36:38","14.162.252.67",445,"static.vnpt.vn",45899,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:36:38","115.73.208.199",445,,7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,"N",,
"2020-08-01 09:36:39","113.161.41.35",445,"static.vnpt.vn",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"N",,
"2020-08-01 09:36:39","113.175.240.165",445,"static.vnpt.vn",45899,"VN","HA TINH","HA TINH",517311,,"N",,
"2020-08-01 09:36:40","118.70.49.135",445,,18403,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:36:40","222.255.217.188",445,"static.vnpt.vn",45899,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:36:40","42.117.5.50",445,,18403,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"N",,
"2020-08-01 09:36:40","14.225.7.154",445,"static.vnpt.vn",135905,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:36:41","113.161.66.224",445,"static.vnpt.vn",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"N",,
"2020-08-01 09:36:42","125.212.254.186",445,,3873,"VN","BA RIA-VUNG TAU","VUNG TAU",517312,,"N",,
"2020-08-01 09:36:43","42.112.20.68",445,,18403,"VN","HA NOI","HANOI",517311,,"N",,
