"timestamp","ip","asn","geo","url","type","http_agent","tor","src_port","p0f_genre","p0f_detail","hostname","dst_port","http_host","http_referer","http_referer_ip","http_referer_asn","http_referer_geo","dst_ip","dst_asn","dst_geo","naics","sic","http_referer_naics","http_referer_sic","sector","ssl_cipher","application","version"
"2020-08-01 00:00:15","113.161.57.39",45899,"VN",,"necurs",,,7821,,,,,,,,,,"52.169.6.59",8075,"IE",517311,,,,"Communications",,,
"2020-08-01 00:00:17","14.167.194.149",45899,"VN",,"necurs",,,31117,,,,,,,,,,"52.168.92.246",8075,"US",517311,,,,"Communications",,,
"2020-08-01 00:00:17","14.187.111.188",45899,"VN",,"necurs",,,9599,,,,,,,,,,"13.79.237.73",8075,"IE",517311,,,,"Communications",,,
"2020-08-01 00:00:18","14.187.159.86",45899,"VN",,"necurs",,,29886,,,,,,,,,,"52.168.92.246",8075,"US",517311,,,,"Communications",,,
"2020-08-01 00:00:18","171.234.136.65",7552,"VN",,"necurs",,,28951,,,,,,,,,,"52.169.6.59",8075,"IE",517312,,,,"Communications",,,
"2020-08-01 00:00:18","222.252.113.107",45899,"VN",,"necurs",,,12834,,,,,,,,,,"40.86.181.111",8075,"US",517311,,,,"Communications",,,
"2020-08-01 00:00:19","113.174.37.226",45899,"VN",,"necurs",,,49377,,,,,,,,,,"104.211.67.128",8075,"IN",517311,,,,"Communications",,,
"2020-08-01 00:00:19","27.68.6.186",7552,"VN",,"necurs",,,49713,,,,,,,,,,"13.71.116.199",8075,"IN",517312,,,,"Communications",,,
"2020-08-01 00:00:20","14.170.249.249",45899,"VN",,"necurs",,,31058,,,,,,,,,,"52.175.157.221",8075,"JP",517311,,,,"Communications",,,
"2020-08-01 00:00:20","171.248.108.236",7552,"VN",,"necurs",,,19541,,,,,,,,,,"13.95.10.204",8075,"NL",517312,,,,"Communications",,,
"2020-08-01 00:00:20","14.187.107.119",45899,"VN",,"necurs",,,12831,,,,,,,,,,"52.168.92.246",8075,"US",517311,,,,"Communications",,,
"2020-08-01 00:00:21","171.225.251.11",7552,"VN",,"necurs",,,20274,,,,,,,,,,"13.71.116.199",8075,"IN",517312,,,,"Communications",,,
"2020-08-01 00:00:21","222.254.136.130",45899,"VN",,"necurs",,,28490,,,,,,,,,,"104.215.27.167",8075,"JP",517311,,,,"Communications",,,
"2020-08-01 00:00:22","171.226.245.218",7552,"VN",,"necurs",,,19720,,,,,,,,,,"23.101.65.123",8075,"NL",517312,,,,"Communications",,,
"2020-08-01 00:00:22","171.244.213.116",7552,"VN",,"necurs",,,26070,,,,,,,,,,"13.71.116.199",8075,"IN",517312,,,,"Communications",,,
"2020-08-01 00:00:24","42.113.218.210",18403,"VN",,"necurs",,,2974,,,,,,,,,,"52.163.220.177",8075,"SG",517311,,,,"Communications",,,
"2020-08-01 00:00:24","14.160.11.50",45899,"VN",,"necurs",,,5067,,,,,,,,,,"40.86.181.111",8075,"US",517311,,,,"Communications",,,
"2020-08-01 00:00:25","14.231.19.135",45899,"VN",,"necurs",,,31170,,,,,,,,,,"52.163.220.177",8075,"SG",517311,,,,"Communications",,,
"2020-08-01 00:00:25","14.181.182.38",45899,"VN",,"necurs",,,18176,,,,,,,,,,"104.41.30.184",8075,"BR",517311,,,,"Communications",,,
"2020-08-01 00:00:25","113.22.137.188",18403,"VN",,"necurs",,,56415,,,,,,,,,,"52.163.220.177",8075,"SG",517311,,,,"Communications",,,
"2020-08-01 00:00:25","171.250.182.253",7552,"VN",,"necurs",,,29397,,,,,,,,,,"52.163.220.177",8075,"SG",517312,,,,"Communications",,,
"2020-08-01 00:00:26","171.235.160.29",7552,"VN",,"necurs",,,5186,,,,,,,,,,"13.79.237.73",8075,"IE",517312,,,,"Communications",,,
"2020-08-01 00:00:26","123.20.188.42",45899,"VN",,"necurs",,,32119,,,,,,,,,,"104.211.67.128",8075,"IN",517311,,,,"Communications",,,
"2020-08-01 00:00:26","123.23.48.208",45899,"VN",,"necurs",,,8024,,,,,,,,,,"52.231.26.111",8075,"KR",517311,,,,"Communications",,,
"2020-08-01 00:00:26","14.161.244.229",45899,"VN",,"necurs",,,18349,,,,,,,,,,"13.71.116.199",8075,"IN",517311,,,,"Communications",,,
"2020-08-01 00:00:27","14.181.189.187",45899,"VN",,"necurs",,,27357,,,,,,,,,,"23.101.65.123",8075,"NL",517311,,,,"Communications",,,
"2020-08-01 00:00:27","113.184.221.254",45899,"VN",,"necurs",,,17617,,,,,,,,,,"23.101.65.123",8075,"NL",517311,,,,"Communications",,,
"2020-08-01 00:00:27","14.247.75.92",45899,"VN",,"necurs",,,18280,,,,,,,,,,"23.101.65.123",8075,"NL",517311,,,,"Communications",,,
"2020-08-01 00:00:27","118.70.126.141",18403,"VN",,"necurs",,,13896,,,,,,,,,,"23.101.65.123",8075,"NL",517311,,,,"Communications",,,
"2020-08-01 00:00:27","14.165.54.109",45899,"VN",,"necurs",,,10543,,,,,,,,,,"23.101.64.170",8075,"NL",517311,,,,"Communications",,,
"2020-08-01 00:00:27","113.190.24.229",45899,"VN",,"necurs",,,16859,,,,,,,,,,"40.86.181.111",8075,"US",517311,,,,"Communications",,,
"2020-08-01 00:00:28","1.54.8.51",18403,"VN",,"necurs",,,30739,,,,,,,,,,"104.41.30.184",8075,"BR",517311,,,,"Communications",,,
"2020-08-01 00:00:28","27.3.45.105",45543,"VN",,"necurs",,,20294,,,,,,,,,,"52.163.120.236",8075,"SG",0,,,,"Communications",,,
"2020-08-01 00:00:29","113.160.208.85",45899,"VN",,"necurs",,,6157,,,,,,,,,,"191.232.191.70",8075,"BR",517311,,,,"Communications",,,
"2020-08-01 00:00:29","171.246.91.76",7552,"VN",,"necurs",,,4703,,,,,,,,,,"104.215.27.167",8075,"JP",517312,,,,"Communications",,,
"2020-08-01 00:00:30","113.160.244.59",45899,"VN",,"necurs",,,8547,,,,,,,,,,"52.163.120.236",8075,"SG",517311,,,,"Communications",,,
"2020-08-01 00:00:30","125.214.48.163",24086,"VN",,"necurs",,,36172,,,,,,,,,,"52.175.157.221",8075,"JP",517312,,,,"Communications",,,
"2020-08-01 00:00:31","117.2.59.177",7552,"VN",,"necurs",,,31782,,,,,,,,,,"104.211.67.128",8075,"IN",517312,,,,"Communications",,,
"2020-08-01 00:00:31","118.69.244.81",18403,"VN",,"necurs",,,56406,,,,,,,,,,"13.79.237.73",8075,"IE",517311,,,,"Communications",,,
"2020-08-01 00:00:31","115.76.44.229",7552,"VN",,"necurs",,,30482,,,,,,,,,,"104.215.27.167",8075,"JP",517312,,,,"Communications",,,
