"timestamp","ip","protocol","port","hostname","tag","asn","geo","region","city","naics","sic","machine_name","response_size"
"2020-08-01 09:47:09","113.161.35.153","udp",3283,,"ard",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"ThakralOne-Vietnam",1006
"2020-08-01 09:52:14","103.104.122.238","udp",3283,"static-ptr.vndata.vn","ard",135932,"VN","HA NOI","HANOI",0,,"macoss Mac",1006
