"timestamp","ip","protocol","port","hostname","tag","asn","geo","region","city","naics","sic","machine_type","afp_versions","uams","flags","server_name","signature","directory_service","utf8_servername","network_address"
"2020-08-01 15:20:57","14.241.213.3","tcp",548,"static.vnpt.vn","afp",45899,"VN","TIEN GIANG","MY THO",517311,,"Netatalk3.1.8","AFP2.2,AFPX03,AFP3.1,AFP3.2,AFP3.3,AFP3.4","Cleartxt Passwrd,DHX2,DHCAST128","SupportsCopyFile,SupportsServerMessages,SupportsServerSignature,SupportsTCP/IP,SupportsSrvrNotifications,SupportsOpenDirectory,SupportsUTF8Servername,SupportsUUIDs,SupportsSuperClient","SMTG-DATASHARE","b2eb648d675d697cdc798e85661f698a",,"SMTG-DATASHARE","192.168.7.224 (TCP/IP address),"
"2020-08-01 15:20:57","1.54.221.19","tcp",548,,"afp",18403,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"Netatalk3.1.8","AFP2.2,AFPX03,AFP3.1,AFP3.2,AFP3.3,AFP3.4","DHX2,DHCAST128","SupportsCopyFile,SupportsServerMessages,SupportsServerSignature,SupportsTCP/IP,SupportsSrvrNotifications,SupportsOpenDirectory,SupportsUTF8Servername,SupportsUUIDs,SupportsSuperClient","SBD","4af7e317f341638faa19d4c4bed3e85f",,"SBD","192.168.1.234 (TCP/IP address),"
"2020-08-01 15:21:05","113.22.175.192","tcp",548,,"afp",18403,"VN","HA NOI","HANOI",517311,,"Netatalk3.1.8","AFP2.2,AFPX03,AFP3.1,AFP3.2,AFP3.3,AFP3.4","DHX2,DHCAST128","SupportsCopyFile,SupportsServerMessages,SupportsServerSignature,SupportsTCP/IP,SupportsSrvrNotifications,SupportsOpenDirectory,SupportsUTF8Servername,SupportsUUIDs,SupportsSuperClient","LaD","88e576c3ad42e866494ee111c29a31c3",,"LaD","192.168.31.213 (TCP/IP address),"
"2020-08-01 15:21:06","115.75.39.67","tcp",548,,"afp",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,"Netatalk3.1.8","AFP2.2,AFPX03,AFP3.1,AFP3.2,AFP3.3,AFP3.4","DHX2,DHCAST128","SupportsCopyFile,SupportsServerMessages,SupportsServerSignature,SupportsTCP/IP,SupportsSrvrNotifications,SupportsOpenDirectory,SupportsUTF8Servername,SupportsUUIDs,SupportsSuperClient","DISKSTATION","2d66fed777c3f039679a292f60833b84",,"DISKSTATION","192.168.1.22 (TCP/IP address),"
"2020-08-01 15:21:07","14.171.253.136","tcp",548,"static.vnpt.vn","afp",45899,"VN","QUANG NINH","CAM PHA",517311,,"Netatalk3.1.8","AFP2.2,AFPX03,AFP3.1,AFP3.2,AFP3.3,AFP3.4","DHX2,DHCAST128","SupportsCopyFile,SupportsServerMessages,SupportsServerSignature,SupportsSrvrNotifications,SupportsOpenDirectory,SupportsUTF8Servername,SupportsUUIDs,SupportsSuperClient","DiskStation","b0f6dfca60c4b3567a46fe2378487cc5",,"DiskStation","0.0.0.0 (TCP/IP address),"
"2020-08-01 15:21:14","113.160.247.2","tcp",548,"static.vnpt.vn","afp",45899,"VN","DA NANG","DA NANG",517311,,"Netatalk3.1.8","AFP2.2,AFPX03,AFP3.1,AFP3.2,AFP3.3,AFP3.4","DHX2,DHCAST128","SupportsCopyFile,SupportsServerMessages,SupportsServerSignature,SupportsTCP/IP,SupportsSrvrNotifications,SupportsOpenDirectory,SupportsUTF8Servername,SupportsUUIDs,SupportsSuperClient","DaNang","00b2b68009c6cc569cb5636612bb6656",,"DaNang","192.168.1.220 (TCP/IP address),"
"2020-08-01 15:21:14","118.70.184.21","tcp",548,,"afp",18403,"VN","HA NOI","HANOI",517311,,"Netatalk2.2.4","AFP2.2,AFPX03,AFP3.1,AFP3.2,AFP3.3","DHX2,DHCAST128,Cleartxt Passwrd,No User Authent","SupportsCopyFile,SupportsServerMessages,SupportsServerSignature,SupportsTCP/IP,SupportsSrvrNotifications,SupportsOpenDirectory,SupportsUTF8Servername,SupportsUUIDs,SupportsSuperClient","TS3400D1BE","a09e8638466de06356555dce7bd415ab",,"TS3400D1BE","192.168.11.9 (TCP/IP address),"
"2020-08-01 15:21:14","116.102.146.100","tcp",548,,"afp",24086,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,"Netatalk3.1.8","AFP2.2,AFPX03,AFP3.1,AFP3.2,AFP3.3,AFP3.4","Cleartxt Passwrd,DHX2,DHCAST128","SupportsCopyFile,SupportsServerMessages,SupportsServerSignature,SupportsTCP/IP,SupportsSrvrNotifications,SupportsOpenDirectory,SupportsUTF8Servername,SupportsUUIDs,SupportsSuperClient","Home-DSM","3af325479d9e2925f23758a853583d41",,"Home-DSM","192.168.5.123 (TCP/IP address),"
"2020-08-01 15:21:15","14.187.207.202","tcp",548,"static.vnpt.vn","afp",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"Netatalk3.1.8","AFP2.2,AFPX03,AFP3.1,AFP3.2,AFP3.3,AFP3.4","Cleartxt Passwrd,DHX2,DHCAST128","SupportsCopyFile,SupportsServerMessages,SupportsServerSignature,SupportsTCP/IP,SupportsSrvrNotifications,SupportsOpenDirectory,SupportsUTF8Servername,SupportsUUIDs,SupportsSuperClient","Diskstation","101df18a3b21a5b70329ef86ecaf4a17",,"Diskstation","192.168.30.61 (TCP/IP address),"
"2020-08-01 15:21:17","118.71.212.220","tcp",548,"ip-address-pool-xxx.fpt.vn","afp",18403,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"Netatalk3.0.5","AFP2.2,AFPX03,AFP3.1,AFP3.2,AFP3.3","DHX2,Cleartxt Passwrd,No User Authent","SupportsCopyFile,DontAllowSavePwd,SupportsServerMessages,SupportsServerSignature,SupportsTCP/IP,SupportsSrvrNotifications,SupportsOpenDirectory,SupportsUTF8Servername,SupportsUUIDs,SupportsSuperClient","MycloudThienPhu","c9dda3b90d1beb502a9793775b9bcb3c",,"MycloudThienPhu","192.168.1.12 (TCP/IP address),"
"2020-08-01 15:21:18","171.240.36.171","tcp",548,"dynamic-ip-adsl.viettel.vn","afp",7552,"VN","HA NOI","HANOI",517312,,"Netatalk3.1.8","AFP2.2,AFPX03,AFP3.1,AFP3.2,AFP3.3,AFP3.4","Cleartxt Passwrd,No User Authent,DHX2,DHCAST128","SupportsCopyFile,SupportsServerMessages,SupportsServerSignature,SupportsTCP/IP,SupportsSrvrNotifications,SupportsOpenDirectory,SupportsUTF8Servername,SupportsUUIDs,SupportsSuperClient","jmlife2020","7848f131097c14c86944a19e58223143",,"jmlife2020","192.168.1.31 (TCP/IP address),"
"2020-08-01 15:21:19","14.250.49.72","tcp",548,"static.vnpt.vn","afp",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"Netatalk3.1.8","AFP2.2,AFPX03,AFP3.1,AFP3.2,AFP3.3,AFP3.4","Cleartxt Passwrd,DHX2,DHCAST128","SupportsCopyFile,SupportsServerMessages,SupportsServerSignature,SupportsTCP/IP,SupportsSrvrNotifications,SupportsOpenDirectory,SupportsUTF8Servername,SupportsUUIDs,SupportsSuperClient","deltagaliVN","0211075e62c8e83a98c77eee4c45bcd5",,"deltagaliVN","192.168.42.8 (TCP/IP address),"
"2020-08-01 15:21:28","118.69.52.73","tcp",548,,"afp",18403,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"Netatalk3.1.1","AFP2.2,AFPX03,AFP3.1,AFP3.2,AFP3.3,AFP3.4","DHX2,DHCAST128","SupportsCopyFile,SupportsServerMessages,SupportsServerSignature,SupportsTCP/IP,SupportsSrvrNotifications,SupportsOpenDirectory,SupportsUTF8Servername,SupportsUUIDs,SupportsSuperClient","Server1","b735505e722e7e0947b82a48cd8550eb",,"Server1","192.168.0.253 (TCP/IP address),"
"2020-08-01 15:21:29","42.116.34.167","tcp",548,,"afp",18403,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"Windows NT","AFPVersion 2.0,AFPVersion 2.1,AFP2.2","Microsoft V1.0,MS2.0,MS3.0","SupportsCopyFile,SupportsChgPwd,DontAllowSavePwd,SupportsServerMessages,SupportsServerSignature,SupportsTCP/IP,SupportsSrvrNotifications,SupportsSuperClient","SERVER","9eab9d61f459e1ef782e9d9385e77eaf",,,"192.168.1.111 (TCP/IP address),32869.255 (ddp address),"
