timestamp,ip,protocol,port,hostname,tag,version,asn,geo,region,city,naics,sic,git_sha1,git_dirty_flag,build_id,mode,os,architecture,multiplexing_api,gcc_version,process_id,run_id,uptime,connected_clients,sector
8/1/2020 19:19,157.119.251.206,tcp,6379,,redis,5.0.7,135944,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,,0,0,825c96d6c798641,standalone,Linux 3.10.0-1127.el7.x86_64 x86_64,,epoll,8.3.0,1,43903832723e2902471cbc10fb65105ff8b2a900,435947,3,Information Technology
8/1/2020 19:19,61.14.238.163,tcp,6379,,redis,5.0.7,63731,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,,0,0,636cde3b5c7a3923,standalone,Linux 5.4.0-37-generic x86_64,,epoll,9.2.1,758,96b1b525d4b7b5931f60a1c45f85c86c7cb3b265,635727,1,Communications
8/1/2020 19:19,14.225.3.52,tcp,6379,,redis,6.0.4,45899,VN,HA NOI,HANOI,517311,,0,0,d5d470262d47f1a0,standalone,Linux 3.10.0-1127.8.2.el7.x86_64 x86_64,,epoll,8.3.0,1,376c0ccf1ef673704c7df6f388803d51d6e2abfd,5501290,36,Communications
8/1/2020 19:19,118.69.196.112,tcp,6379,,redis,3.0.504,18403,VN,HO CHI MINH,THANH PHO HO CHI MINH,517311,,0,0,a4f7a6e86f2d60b3,standalone,Windows,,WinSock_IOCP,,4592,0fff775c262c45412ebb7fa713c14b5bb2cacdd2,399739,5,Communications
8/1/2020 19:19,222.252.22.130,tcp,6379,static.vnpt-hanoi.com.vn,redis,5.0.6,45899,VN,HA NOI,HANOI,517311,,0,0,c3d7ebb6b1a2844b,cluster,Linux 3.10.0-1062.1.2.el7.x86_64 x86_64,,epoll,4.8.5,2452,7d09970c49c040dff1b3698b67fa6ddb6b527071,3517202,1,Communications
8/1/2020 19:19,45.118.145.123,tcp,6379,,redis,6.0.5,131414,VN,BAC NINH,BAC NINH,0,,0,0,db63ea56716d515f,standalone,Linux 4.15.0-99-generic x86_64,,epoll,8.3.0,1,0bf2da157018a27984914770f9a8cfbe46794871,1936956,2,Communications
8/1/2020 19:19,125.212.193.69,tcp,6379,,redis,3.2.12,38731,VN,HA NOI,HANOI,517312,,0,0,b2d74fe5fff7657d,standalone,Linux 2.6.32-754.24.3.el6.x86_64 x86_64,,epoll,4.4.7,58629,58dc45b8500a9bc871e41e74e232cbaca13bdab3,16720186,1,Communications
8/1/2020 19:19,103.221.223.152,tcp,6379,www.vitaminsea.vn,redis,5.0.9,18403,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,,0,0,599348814c01830d,standalone,Linux 4.15.0 x86_64,,epoll,9.3.0,1,06ab089a834f5b8a9b83d768b37b09532caaaa29,220381,1,Communications
8/1/2020 19:19,103.104.123.51,tcp,6379,static-ptr.vndata.vn,redis,5.0.9,135932,VN,HA NOI,HANOI,0,,0,0,c781f6fafb441952,standalone,Linux 3.10.0-1062.18.1.el7.x86_64 x86_64,,epoll,8.3.0,1,a1124a4c9ee74b9e0af01af492594fbad151f46f,505873,1,Communications
8/1/2020 19:20,222.255.174.37,tcp,6379,static.vnpt.vn,redis,3.2.12,45899,VN,DA NANG,DA NANG,517311,,0,0,7897e7d0e13773f,standalone,Linux 3.10.0-957.el7.x86_64 x86_64,,epoll,4.8.5,9450,9463eaca7e4b83c1b718886a1e419dc01f111b3a,42316,1,Communications
8/1/2020 19:20,124.158.12.177,tcp,6379,vnit-services.com,redis,3.0.504,38733,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,,0,0,a4f7a6e86f2d60b3,standalone,Windows,,WinSock_IOCP,,2412,2a70b06b5425cbb7a18bd5612bb2be58f0b1eeec,2219,1,Communications
8/1/2020 19:20,171.244.142.44,tcp,6379,,redis,2.8.210,7552,VN,HA NOI,HANOI,517312,,0,0,83ad777ec89a946b,standalone,Windows,,winsock_IOCP,,1492,0fd0e5a5acb579f02f395c624d60acb44258a005,1693329,3,Communications
8/1/2020 19:21,1.55.215.47,tcp,6379,1-55-215-47.higio.net,redis,3.2.12,18403,VN,HAI PHONG,HAI PHONG,517311,,0,0,7897e7d0e13773f,standalone,Linux 3.10.0-957.5.1.el7.x86_64 x86_64,,epoll,4.8.5,10679,ee5e2ad3ccc5fd400453f3b3fc12d1da06c28ded,928317,1,Communications
8/1/2020 19:21,103.199.6.191,tcp,6379,,redis,6.0.6,56155,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,,0,0,e1758574e18403c5,standalone,Linux 4.4.0-186-generic x86_64,,epoll,5.4.0,3641,1ea20bf4a20b10670968dbf9f5b5703b5b1e9234,202588,2,Communications
8/1/2020 19:21,103.98.160.24,tcp,6379,,redis,3.0.501,135922,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,,0,0,ba05b51e58eb9205,standalone,Windows,,WinSock_IOCP,,1752,d8425c42d8821c8c25e8c9b691faacb96051de6b,2166321,6,Communications
8/1/2020 19:21,103.109.43.129,tcp,6379,,redis,6.0.5,135905,VN,HA NOI,HANOI,0,,0,0,efcacada99594620,standalone,Linux 4.15.0-46-generic x86_64,,epoll,8.3.0,1,00f5df94e5da658a17f1a8b9d611c209918a7d8f,1137234,37,Communications
8/1/2020 19:21,157.119.251.95,tcp,6379,,redis,6.0.3,135944,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,,0,0,eb1391459d1a8dbb,standalone,Linux 3.10.0-1127.el7.x86_64 x86_64,,epoll,8.3.1,7041,6de2c2388a51bdab028663056e87a75a861dd240,3238480,5,Information Technology
8/1/2020 19:21,210.245.8.11,tcp,6379,,redis,3.2.12,18403,VN,HA NOI,HANOI,517311,,0,0,7897e7d0e13773f,standalone,Linux 3.10.0-1062.el7.x86_64 x86_64,,epoll,4.8.5,15207,ed853313fceb924457c274c6c9cfc1d8d4e1de77,4290994,2,Communications
8/1/2020 19:21,171.244.33.160,tcp,6379,,redis,3.0.503,38731,VN,HA NOI,HANOI,517312,,0,0,d14575c6134f877,standalone,Windows,,WinSock_IOCP,,1576,af2a6e707f919b38b2bb2f3fe7b3ee59f763ce6a,3229773,9,Communications
8/1/2020 19:21,112.213.86.108,tcp,6379,mx86108.superdata.vn,redis,3.0.6,45544,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,,0,0,7785291a3d2152db,standalone,Linux 4.4.0-150-generic x86_64,,epoll,5.4.0,1039,a4389b551dc00d8632792aac63c2493f7a0f97ef,12129661,8,Communications
