timestamp,ip,protocol,port,hostname,asn,geo,region,city,version,clk_wander,clock,error,frequency,jitter,leap,mintc,noise,offset,peer,phase,poll,precision,processor,refid,reftime,rootdelay,rootdispersion,stability,state,stratum,system,tai,tc,naics,sic,sector
8/1/2020 1:15,123.30.181.65,udp,123,static.vnpt.vn,45899,VN,HA NOI,HANOI,,,0xE2CF40CA.5BA2CCBC,0.09,-102.22,,3,,,,0,,6,,,10.1.2.23,0xE279FD80.A7D59D5E,33.07,108.55,,,16,cisco,,,517311,,Communications
8/1/2020 1:15,125.234.143.138,udp,123,,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,4,,0xe2cf40cf.8b3e1068,,3.391,0.978,0,,1.011,0.339,,,10,-10,unknown,172.20.30.71,0xe2cf3ce8.3c1e26fe,292.618,172.366,0.028,4,4,UNIX,,,0,,Communications
8/1/2020 1:16,125.234.118.252,udp,123,125.234.118.252.hcm.viettel.vn,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,4,,0xe2cf40d0.c02b5720,,-37.988,0.977,0,,0.977,0.453,,,10,-10,unknown,10.73.224.34,0xe2cf4015.dd7c35d2,22.461,37.23,0.023,4,3,UNIX,,,0,,Communications
8/1/2020 1:16,103.95.170.1,udp,123,,135919,VN,HA NOI,HANOI,4,0,0xE2CF40D2.8F9DB3B8,,0,0,0,3,,0,,,,-10,unknown,172.17.103.200,0xE2CF365A.49FBE838,0,0,,,6,UNIX,,10,0,,Communications
8/1/2020 1:16,14.169.23.111,udp,123,static.vnpt.vn,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,ntpd 4.2.6p3@1.2290 Fri Apr 22 13:19:50 UTC 2016 (53),0,0xe2cf4226.928f6b31,,0,0,0,3,,0,,,,-14,armv7l,127.127.1.0,0xe2cf41ec.fd8a4edf,0,11.903,,,6,Linux/3.10.0,,6,517311,,Communications
8/1/2020 1:16,118.69.57.84,udp,123,,18403,VN,HO CHI MINH,THANH PHO HO CHI MINH,4,,0xE2CF40D3.51EF005C,,4.15,2.424,0,,5.151,-1.8,,,10,-24,unknown,192.168.120.60,0xE2CF3D2E.D626E5C2,168.166,120.751,0.164,4,4,UNIX,,,517311,,Communications
8/1/2020 1:16,101.53.37.154,udp,123,ci53.37-154.netnam.vn,24173,VN,HO CHI MINH,THANH PHO HO CHI MINH,4,0.001,0xE2CF40CF.774BC7F0,,-52.824,0,3,3,,-3.414,,,,-10,unknown,INIT,0xE18B3B90.EA7EFC60,0,99999.999,,,16,UNIX,,6,0,,Communications
8/1/2020 1:16,116.97.243.196,udp,123,,7552,VN,HA NOI,HANOI,4,,0xe2cf40d6.f22ce627,,-37.765,0.977,0,,0.977,-1.819,,,9,-10,unknown,192.168.181.50,0xe2cf40c3.d2981ca3,2.579,41.744,0.009,4,3,UNIX,,,517312,,Communications
8/1/2020 1:16,101.53.34.142,udp,123,,24173,VN,HO CHI MINH,THANH PHO HO CHI MINH,4,0,0xE2CF40D9.FC5987C8,,0,0,0,3,,0,,,,-21,unknown,202.151.175.18,0xE2CF37BA.FA4DB0D2,0,0,,,4,UNIX,,10,0,,Communications
8/1/2020 1:16,202.151.171.198,udp,123,198.171.151.202.static.hcmc.netnam.vn,24173,VN,HO CHI MINH,THANH PHO HO CHI MINH,4,0,0xE2CF39C6.A4A5EE02,,0,0,3,3,,0,,,,-21,unknown,INIT,0x00000000.00000000,0,0,,,16,UNIX,,3,0,,Communications
8/1/2020 1:16,202.134.20.34,udp,123,static.cmcti.vn,45903,VN,HO CHI MINH,THANH PHO HO CHI MINH,4,0,0xE2CF40DB.A1893908,,-30.001,0,0,3,,-1.178,,,,-10,unknown,132.163.97.2,0xE2CF404B.6B4396A8,220.242,6.66,,,2,UNIX,,10,0,,Communications
8/1/2020 1:16,221.133.11.28,udp,123,,7602,VN,HO CHI MINH,THANH PHO HO CHI MINH,,,0xE2CF40DB.DCB46532,0.12,147.57,,0,,,,43479,,6,,,172.23.23.254,0xE2CF40B3.B95B47EB,317.72,49.87,,,3,cisco,,,0,,Communications
8/1/2020 1:16,113.164.242.205,udp,123,static.vnpt.vn,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,4,0.001,0xE2CF40DC.1F3B64B0,,-35.65,0,0,3,,1.5,,,,-10,unknown,172.16.20.1,0xE2CF3CF8.C6666888,66.711,159.972,,,6,UNIX,,10,517311,,Communications
