"timestamp","ip","protocol","port","hostname","tag","version","asn","geo","region","city","naics","sic"
"2020-08-01 10:49:45","14.232.132.123","tcp",4899,"static.vnpt.vn","radmin","Radmin (Details Unknown)",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 10:50:07","45.125.239.240","tcp",4899,"static.ftech.vn","radmin","Radmin v3.X Radmin Authentication",18403,"VN","HA NOI","HANOI",0,
"2020-08-01 10:50:17","14.232.244.177","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 10:50:18","222.255.175.79","tcp",4899,"mail.vikoda.com.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","DA NANG","DA NANG",517311,
"2020-08-01 10:50:22","115.79.47.213","tcp",4899,,"radmin","Radmin v3.0 Windows",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,
"2020-08-01 10:50:23","113.160.156.99","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","LANG SON","LANG SON",517311,
"2020-08-01 10:50:23","125.212.226.121","tcp",4899,,"radmin","Radmin v3.0 Windows",38731,"VN","HA NOI","HANOI",517312,
"2020-08-01 10:50:23","14.176.74.49","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","HAI PHONG","HAI PHONG",517311,
"2020-08-01 10:50:27","113.160.229.85","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.0 Windows",45899,"VN","DA NANG","DA NANG",517311,
"2020-08-01 10:51:19","118.71.124.127","tcp",4899,"ip-address-pool-xxx.fpt.vn","radmin","Radmin v3.X Radmin Authentication",18403,"VN","HA NOI","HANOI",517311,
"2020-08-01 10:51:20","123.30.133.91","tcp",4899,"mail.hnc-fashion.com","radmin","Radmin v3.X Source IP blocked",7643,"VN","HA NOI","HANOI",517311,
"2020-08-01 10:51:21","123.18.206.96","tcp",4899,,"radmin","Radmin v3.X Radmin Authentication",45899,"VN","LANG SON","LANG SON",517311,
"2020-08-01 10:51:23","203.205.33.151","tcp",4899,"static.cmcti.vn","radmin","Radmin v3.X Radmin Authentication",45903,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,
"2020-08-01 10:51:24","203.113.147.12","tcp",4899,,"radmin","Radmin v3.X Radmin Authentication",7552,"VN","BINH DUONG","DI AN",517312,
"2020-08-01 10:51:39","14.176.86.173","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","THANH HOA","THANH HOA",517311,
"2020-08-01 10:51:40","14.229.237.149","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","THAI BINH","THAI BINH",517311,
"2020-08-01 10:51:45","113.173.197.38","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,
"2020-08-01 10:51:45","203.162.29.58","tcp",4899,"nhatrang-03.khanhhoa.net.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 10:51:45","113.190.233.89","tcp",4899,"static.vnpt-hanoi.com.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 10:51:50","14.182.113.172","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","THANH HOA","THANH HOA",517311,
"2020-08-01 10:51:54","116.107.211.65","tcp",4899,"dynamic-ip-adsl.viettel.vn","radmin","Radmin v3.X Radmin Authentication",24086,"VN","HA NOI","HANOI",517312,
"2020-08-01 10:51:59","115.78.9.183","tcp",4899,,"radmin","Radmin v3.X Radmin Authentication",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,
"2020-08-01 10:52:00","14.244.178.255","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","THANH HOA","THANH HOA",517311,
"2020-08-01 10:52:04","14.243.164.110","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","DA NANG","DA NANG",517311,
"2020-08-01 10:52:04","113.160.144.175","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 10:52:08","210.245.91.12","tcp",4899,,"radmin","Radmin v3.X Radmin Authentication",18403,"VN","HA NOI","HANOI",517311,
"2020-08-01 10:52:08","14.247.122.70","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","THANH HOA","THANH HOA",517311,
"2020-08-01 10:52:08","171.237.200.57","tcp",4899,"dynamic-adsl.viettel.vn","radmin","Radmin v3.X Radmin Authentication",7552,"VN","TUYEN QUANG","TUYEN QUANG",517312,
"2020-08-01 10:52:55","113.160.156.168","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","LANG SON","LANG SON",517311,
"2020-08-01 10:52:55","123.16.152.133","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 10:53:06","113.160.156.110","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","LANG SON","LANG SON",517311,
"2020-08-01 10:53:06","14.160.23.216","tcp",4899,"static.vnpt.vn","radmin","Radmin (Details Unknown)",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 10:53:21","117.4.155.105","tcp",4899,"localhost","radmin","Radmin v3.X Radmin Authentication",7552,"VN","THANH HOA","THANH HOA",517312,
"2020-08-01 10:53:21","123.25.115.225","tcp",4899,"static.vdc.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","THUA THIEN-HUE","HUE",517311,
"2020-08-01 10:53:25","113.179.64.195","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 10:53:31","14.191.59.153","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","DA NANG","DA NANG",517311,
"2020-08-01 10:53:31","113.160.165.166","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.0 Windows",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 10:53:31","14.247.173.157","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","LAO CAI","LAO CAI",517311,
"2020-08-01 10:53:48","183.91.15.21","tcp",4899,"static.cmcti.vn","radmin","Radmin v3.X Radmin Authentication",45903,"VN","HA NOI","HANOI",0,
"2020-08-01 10:53:51","202.191.58.114","tcp",4899,,"radmin","Radmin v3.0 Windows",38727,"VN","HA NOI","HANOI",0,
"2020-08-01 10:53:53","14.178.84.185","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 10:53:59","123.30.133.31","tcp",4899,"mail.em-texco.com","radmin","Radmin v3.X Source IP blocked",7643,"VN","HA NOI","HANOI",517311,
"2020-08-01 10:54:00","14.246.177.129","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,
"2020-08-01 10:54:25","117.5.61.91","tcp",4899,"localhost","radmin","Radmin v3.X Radmin Authentication",7552,"VN","THAI BINH","THAI BINH",517312,
"2020-08-01 10:54:26","14.226.86.47","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 10:54:38","14.226.84.50","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","THANH HOA","THANH HOA",517311,
"2020-08-01 10:54:42","117.4.3.19","tcp",4899,"localhost","radmin","Radmin (Details Unknown)",7552,"VN","TUYEN QUANG","TUYEN QUANG",517312,
"2020-08-01 10:54:49","118.70.171.181","tcp",4899,,"radmin","Radmin v3.X Radmin Authentication",18403,"VN","HA NOI","HANOI",517311,
"2020-08-01 10:54:49","117.4.83.45","tcp",4899,"localhost","radmin","Radmin v3.X Radmin Authentication",7552,"VN","THAI NGUYEN","THAI NGUYEN",517312,
"2020-08-01 10:54:49","14.226.86.209","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","HA NOI","HANOI",517311,
