timestamp,ip,port,hostname,tag,application,asn,geo,region,city,url,http_host,category,system,detected_since,server,redirect_target,naics,sic,sector,cc_url,family
8/1/2020 7:15,123.30.235.163,80,static.vnpt.vn,hacked-webserver-stealrat-t1,http,45899,VN,HA NOI,HANOI,ckeditor/themes/default/help.php,anninh.thainguyen.vn,spam,Linux,5/9/2015 1:09,nginx,,517311,,Communications,,
8/1/2020 7:15,42.117.1.243,80,,hacked-webserver-stealrat-t1,http,18403,VN,HO CHI MINH,THANH PHO HO CHI MINH,wp-content/uploads/siteorigin-widgets/user.php,anhhongfood.com,spam,WINNT,3/2/2016 22:44,Microsoft-IIS/7.5,,517311,,Communications,,
8/1/2020 7:15,103.200.23.242,80,,hacked-webserver-stealrat-t1,http,135905,VN,HO CHI MINH,THANH PHO HO CHI MINH,wp-content/uploads/2014/03/dirs.php,chothueamthanh.info,spam,Linux,6/27/2020 7:15,nginx,,0,,Communications,,
8/1/2020 7:15,171.254.11.242,80,,hacked-webserver-stealrat-t1,http,7552,VN,HA NOI,HANOI,hpmu/modules/laws/funcs/diff.php,hpmu.edu.vn,spam,Linux,1/9/2019 8:17,Nginx,,517312,,Communications,,
8/1/2020 7:15,171.254.11.242,80,,hacked-webserver-stealrat-t1,http,7552,VN,HA NOI,HANOI,hpmu/themes/mobile_nukeviet/images/icons/ini.php,hpmu.edu.vn,spam,Linux,1/9/2019 8:17,Nginx,,517312,,Communications,,
8/1/2020 7:15,171.254.11.242,80,,hacked-webserver-stealrat-t1,http,7552,VN,HA NOI,HANOI,hpmu/themes/default/language/cache.php,hpmu.edu.vn,spam,Linux,1/9/2019 8:17,Nginx,,517312,,Communications,,
8/1/2020 7:15,45.117.80.13,80,mail.khachsanhaiau.com,hacked-webserver-stealrat-t1,http,131353,VN,HA NOI,HANOI,cty/wp-content/uploads/2014/09/config.php,khoahocmoi.vn,spam,Linux,6/28/2016 0:14,Apache/2,,0,,Communications,,
8/1/2020 7:15,117.0.36.201,80,mail.khoangsanankhanh.vn,hacked-webserver-stealrat-t1,http,7552,VN,HA NOI,HANOI,ckfinder/plugins/fileeditor/codemirror/contrib/csharp/js/diff.php,khoangsanankhanh.com.vn,spam,Linux,11/26/2014 6:55,Apache/2.2.27 (CentOS),,517312,,Communications,,
8/1/2020 7:16,123.30.235.163,80,static.vnpt.vn,hacked-webserver-stealrat-t1,http,45899,VN,HA NOI,HANOI,filemanager_in_ckeditor/js/ckeditor/plugins/pastetext/dialogs/diff.php,songviet68.com.vn,spam,Linux,5/9/2015 12:17,nginx,,517311,,Communications,,
8/1/2020 7:16,123.30.235.163,80,static.vnpt.vn,hacked-webserver-stealrat-t1,http,45899,VN,HA NOI,HANOI,filemanager_in_ckeditor/js/ckeditor/plugins/uicolor/gallery.php,songviet68.com.vn,spam,Linux,1/30/2015 13:08,nginx,,517311,,Communications,,
8/1/2020 7:16,203.113.173.19,80,vt19.server.idn.vn,hacked-webserver-stealrat-t1,http,7552,VN,HA NOI,HANOI,libraries/pattemplate/config.php,thanhdanh-pt.com,spam,Linux,5/9/2015 13:05,Apache/2,,517312,,Communications,,
8/1/2020 7:16,203.113.173.19,80,vt19.server.idn.vn,hacked-webserver-stealrat-t1,http,7552,VN,HA NOI,HANOI,modules/mod_jaslideshow/header.php,thanhdanh-pt.com,spam,Linux,7/26/2014 9:10,Apache/2,,517312,,Communications,,
8/1/2020 7:16,203.113.173.19,80,vt19.server.idn.vn,hacked-webserver-stealrat-t1,http,7552,VN,HA NOI,HANOI,modules/mod_mainmenu/tmpl/stats.php,thanhdanh-pt.com,spam,Linux,4/22/2016 1:40,Apache/2,,517312,,Communications,,
8/1/2020 7:16,203.113.173.19,80,vt19.server.idn.vn,hacked-webserver-stealrat-t1,http,7552,VN,HA NOI,HANOI,/libraries/pattemplate/patTemplate/dir.php,thanhdanh-pt.com,spam,Linux,11/5/2014 10:45,Apache/2,,517312,,Communications,,
8/1/2020 7:16,203.113.173.19,80,vt19.server.idn.vn,hacked-webserver-stealrat-t1,http,7552,VN,HA NOI,HANOI,modules/mod_syndicate/tmpl/ajax.php,thanhdanh-pt.com,spam,Linux,3/3/2016 0:42,Apache/2,,517312,,Communications,,
8/1/2020 7:16,203.113.173.19,80,vt19.server.idn.vn,hacked-webserver-stealrat-t1,http,7552,VN,HA NOI,HANOI,tmp/install_4d0ccf2e90f58/languages/shipping/lib.php,thanhdanh-pt.com,spam,Linux,4/21/2016 1:34,Apache/2,,517312,,Communications,,
8/1/2020 7:16,203.113.173.19,80,vt19.server.idn.vn,hacked-webserver-stealrat-t1,http,7552,VN,HA NOI,HANOI,plugins/editors/files.php,thanhdanh-pt.com,spam,Linux,3/15/2016 2:08,Apache/2,,517312,,Communications,,
8/1/2020 7:16,203.113.173.19,80,vt19.server.idn.vn,hacked-webserver-stealrat-t1,http,7552,VN,HA NOI,HANOI,components/com_media/images/start.php,thanhdanh-pt.com,spam,Linux,3/3/2016 0:42,Apache/2,,517312,,Communications,,
8/1/2020 7:17,103.101.161.158,80,,hacked-webserver-stealrat-t1,http,131353,VN,HA NOI,HANOI,fckeditor/editor/skins/office2003/images/include.php,www.sapabudgettours.com,spam,Linux,9/10/2018 7:21,Apache/2,,0,,Communications,,
8/1/2020 12:01,103.13.77.212,80,,infected-website-leads-to-angler,http,131373,VN,HA NOI,HANOI,/,khoavietdai.com,redirect-to-exploitkit,,8/19/2015 13:55,,,0,,Communications,,
