"timestamp","ip","protocol","port","hostname","tag","asn","geo","region","city","naics","sic","anonymous_access","raw_response","hex_code","code"
"2020-08-01 19:09:56","171.244.40.123","tcp",1883,,"mqtt",38731,"VN","HUNG YEN","HUNG YEN",517312,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:09:56","14.169.245.214","tcp",1883,"static.vnpt.vn","mqtt",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"N",20020005,05,"Connection Refused, not authorized"
"2020-08-01 19:09:56","123.16.230.207","tcp",1883,"static.vnpt.vn","mqtt",45899,"VN","HA NOI","HANOI",517311,,"N",20020005,05,"Connection Refused, not authorized"
"2020-08-01 19:09:56","42.112.216.138","tcp",1883,,"mqtt",18403,"VN","HA NOI","HANOI",517311,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:09:57","103.92.28.221","tcp",1883,,"mqtt",56150,"VN","HA NOI","HANOI",0,,"N",20020005,05,"Connection Refused, not authorized"
"2020-08-01 19:09:57","116.107.127.223","tcp",1883,"dynamic-ip-adsl.viettel.vn","mqtt",7552,"VN","THAI BINH","THAI BINH",517312,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:09:59","113.174.84.32","tcp",1883,"static.vnpt.vn","mqtt",45899,"VN","BA RIA-VUNG TAU","VUNG TAU",517311,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:09:59","103.89.85.250","tcp",1883,,"mqtt",63731,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,"N",20020104,04,"Connection Refused, bad user name or password"
"2020-08-01 19:10:01","117.5.55.15","tcp",1883,"localhost","mqtt",7552,"VN","HA NOI","HANOI",517312,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:10:03","117.5.55.121","tcp",1883,"localhost","mqtt",7552,"VN","HA NOI","HANOI",517312,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:10:04","45.117.80.221","tcp",1883,,"mqtt",131353,"VN","HA NOI","HANOI",0,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:10:08","171.252.183.198","tcp",1883,"dynamic-ip-adsl.viettel.vn","mqtt",7552,"VN","DA NANG","DA NANG",517312,,"N",20020005,05,"Connection Refused, not authorized"
"2020-08-01 19:10:08","116.107.126.161","tcp",1883,"dynamic-adsl.viettel.vn","mqtt",7552,"VN","THAI BINH","THAI BINH",517312,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:10:08","113.160.183.108","tcp",1883,"static.vnpt.vn","mqtt",45899,"VN","HA NOI","HANOI",517311,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:10:10","27.71.227.213","tcp",1883,,"mqtt",38731,"VN","HA NOI","HANOI",517312,,"N",20020004,04,"Connection Refused, bad user name or password"
"2020-08-01 19:10:29","14.232.232.94","tcp",1883,"static.vnpt.vn","mqtt",45899,"VN","HA NOI","HANOI",517311,,"N",20020104,04,"Connection Refused, bad user name or password"
"2020-08-01 19:10:30","203.162.123.93","tcp",1883,"mail.quantridoanhnghiep.biz","mqtt",45899,"VN","HA NOI","HANOI",517311,,"N",20020005,05,"Connection Refused, not authorized"
"2020-08-01 19:10:30","123.16.53.181","tcp",1883,"static.vnpt.vn","mqtt",45899,"VN","HA NOI","HANOI",517311,,"Y",20020000,00,"Connection Accepted"
