timestamp,ip,protocol,port,hostname,tag,version,asn,geo,region,city,naics,sic,gitversion,sysinfo,opensslversion,allocator,javascriptengine,bits,maxbsonobjectsize,ok,visible_databases,sector
8/1/2020 7:16,103.142.25.201,tcp,27017,,mongodb,4.2.0,135951,VN,HA NOI,HANOI,0,,a4b751dcf51dd249c5865812b390cfd1c0129c30,deprecated,,tcmalloc,mozjs,64,16777216,1,none visible,Communications
8/1/2020 7:16,210.245.115.52,tcp,27017,,mongodb,4.2.3,18403,VN,HO CHI MINH,THANH PHO HO CHI MINH,517311,,6874650b362138df74be53d366bbefc321ea32d4,deprecated,,tcmalloc,mozjs,64,16777216,1,none visible,Communications
8/1/2020 7:16,103.68.68.159,tcp,27017,,mongodb,3.4.24,18403,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,,865b4f6a96d0f5425e39a18337105f33e8db504d,deprecated,,tcmalloc,mozjs,64,16777216,1,none visible,Communications
8/1/2020 7:16,103.107.182.144,tcp,27017,,mongodb,4.0.5,45899,VN,HA NOI,HANOI,0,,3739429dd92b92d1b0ab120911a23d50bf03c412,deprecated,,tcmalloc,mozjs,64,16777216,1,READ_ME_TO_RECOVER_YOUR_DATA | admin | config,Communications
8/1/2020 7:16,113.161.10.90,tcp,27017,static.vnpt.vn,mongodb,4.2.3,45899,VN,THUA THIEN-HUE,HUE,517311,,6874650b362138df74be53d366bbefc321ea32d4,deprecated,,tcmalloc,mozjs,64,16777216,1,none visible,Communications
8/1/2020 7:16,14.225.11.16,tcp,27017,static.vnpt.vn,mongodb,4.0.9,135905,VN,HA NOI,HANOI,517311,,fc525e2d9b0e4bceff5c2201457e564362909765,deprecated,,tcmalloc,mozjs,64,16777216,1,none visible,Communications
8/1/2020 7:17,125.212.201.26,tcp,27017,,mongodb,2.6.6,38731,VN,HA NOI,HANOI,517312,,608e8bc319627693b04cc7da29ecc300a5f45a1f,Linux build10.nj1.10gen.cc 2.6.32-431.3.1.el6.x86_64 #1 SMP Fri Jan 3 21:39:27 UTC 2014 x86_64 BOOST_LIB_VERSION=1_49,,tcmalloc,V8,64,16777216,1,none visible,Communications
8/1/2020 7:17,103.1.239.201,tcp,27017,,mongodb,4.0.8,45544,VN,HA NOI,HANOI,0,,9b00696ed75f65e1ebc8d635593bed79b290cfbb,deprecated,,tcmalloc,mozjs,64,16777216,1,none visible,Communications
8/1/2020 7:17,163.44.193.106,tcp,27017,v163-44-193-106.a002.g.han1.static.cnode.io,mongodb,4.0.10,131392,VN,HA NOI,HANOI,0,,c389e7f69f637f7a1ac3cc9fae843b635f20b766,deprecated,,tcmalloc,mozjs,64,16777216,1,none visible,Communications
8/1/2020 7:17,103.1.239.178,tcp,27017,,mongodb,4.2.0,45544,VN,HA NOI,HANOI,0,,a4b751dcf51dd249c5865812b390cfd1c0129c30,deprecated,,tcmalloc,mozjs,64,16777216,1,none visible,Communications
8/1/2020 7:18,123.30.106.188,tcp,27017,,mongodb,3.2.3,45899,VN,HA NOI,HANOI,517311,,b326ba837cf6f49d65c2f85e1b70f6f31ece7937,deprecated,,tcmalloc,mozjs,64,16777216,1,04yfh6i9vd-meow | 221ge80bti-meow | 43d1xgp686-meow | 6trdvve9jp-meow | bnr2bkfi5p-meow,Communications
8/1/2020 7:18,14.225.19.60,tcp,27017,static.vnpt.vn,mongodb,4.2.8,135905,VN,HA NOI,HANOI,517311,,43d25964249164d76d5e04dd6cf38f6111e21f5f,deprecated,,tcmalloc,mozjs,64,16777216,1,none visible,Communications
8/1/2020 7:18,103.48.82.169,tcp,27017,sv-82169.bkns.vn,mongodb,4.2.6,135905,VN,HA NOI,HANOI,0,,20364840b8f1af16917e4c23c1b5f5efd8b352f8,deprecated,,tcmalloc,mozjs,64,16777216,1,none visible,Communications
8/1/2020 7:18,221.133.7.51,tcp,27017,,mongodb,3.6.16,7602,VN,HA NOI,HANOI,0,,204ab367a130a4fd2db1c54b02cd6a86e4e07f56,deprecated,,tcmalloc,mozjs,64,16777216,1,none visible,Communications
8/1/2020 7:18,103.81.84.102,tcp,27017,,mongodb,4.0.17,18403,VN,HA NOI,HANOI,0,,0bc918c73390f6e4d6349660e4cd233f5900b69a,deprecated,,tcmalloc,mozjs,64,16777216,1,none visible,Communications
8/1/2020 7:18,113.161.33.240,tcp,27017,,mongodb,3.4.7,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,517311,,cf38c1b8a0a8dca4a11737581beafef4fe120bcd,deprecated,,tcmalloc,mozjs,64,16777216,1,none visible,Communications
8/1/2020 7:18,42.112.27.31,tcp,27017,,mongodb,4.2.3,18403,VN,HO CHI MINH,THANH PHO HO CHI MINH,517311,,6874650b362138df74be53d366bbefc321ea32d4,deprecated,,tcmalloc,mozjs,64,16777216,1,none visible,Communications
8/1/2020 7:18,103.92.28.244,tcp,27017,,mongodb,4.2.5,56150,VN,HA NOI,HANOI,0,,2261279b51ea13df08ae708ff278f0679c59dc32,deprecated,,tcmalloc,mozjs,64,16777216,1,none visible,Communications
8/1/2020 7:18,118.70.171.68,tcp,27017,,mongodb,4.0.19,18403,VN,HA NOI,HANOI,517311,,7e28f4296a04d858a2e3dd84a1e79c9ba59a9568,deprecated,,tcmalloc,mozjs,64,16777216,1,admin | config | db_action_log | db_bkt | db_class_room,Communications
8/1/2020 7:18,42.115.166.184,tcp,27017,,mongodb,4.0.10,18403,VN,THAI NGUYEN,THAI NGUYEN,517311,,c389e7f69f637f7a1ac3cc9fae843b635f20b766,deprecated,,tcmalloc,mozjs,64,16777216,1,none visible,Communications
