timestamp,ip,protocol,port,hostname,tag,asn,geo,region,city,naics,sic,mdns_name,mdns_ipv4,mdns_ipv6,services,workstation_name,workstation_ipv4,workstation_ipv6,workstation_info,http_name,http_ipv4,http_ipv6,http_ptr,http_info,http_target,http_port
8/1/2020 7:47,125.212.227.21,udp,5353,,mdns,38731,VN,HA NOI,HANOI,517312,,,,,_workstation._tcp.local.;,,,,,,,,,,,
8/1/2020 7:47,103.90.220.80,udp,5353,,mdns,135905,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,,,,,_workstation._tcp.local.;,linux.local.,103.90.220.80,fe80:0:0:0:250:56ff:feb6:62a2,linux [00:50:56:b6:62:a2]._workstation._tcp.local.,,,,,,,
8/1/2020 7:47,123.31.29.184,udp,5353,static.vnpt.vn,mdns,135905,VN,HA NOI,HANOI,517311,,,,,_workstation._tcp.local.;,gdata-3.local.,123.31.29.184,fe80:0:0:0:250:56ff:fe8c:9d3d,gdata-3 [00:50:56:8c:9d:3d]._workstation._tcp.local.,,,,,,,
8/1/2020 7:47,113.160.202.10,udp,5353,static.vnpt.vn,mdns,45899,VN,NINH BINH,NINH BINH,517311,,,,,_workstation._tcp.local.; _ssh._tcp.local.;,linux.local.,192.168.1.189,fe80:0:0:0:215:5dff:fe01:ba01,linux [00:15:5d:01:ba:01]._workstation._tcp.local.,,,,,,,
8/1/2020 7:48,103.20.151.77,udp,5353,s151-77.vonlinemail.com,mdns,131367,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,,,,,_smb._tcp.local.; _ftp._tcp.local.; _http._tcp.local.; _afpovertcp._tcp.local.; _device-info._tcp.local.;,,,,,,,,,,,
8/1/2020 7:48,118.69.157.231,udp,5353,,mdns,18403,VN,HO CHI MINH,THANH PHO HO CHI MINH,517311,,,,,_smb._tcp.local.; _http._tcp.local.; _afpovertcp._tcp.local.; _device-info._tcp.local.;,,,,,NASBONSAI.local.,192.168.1.251,fe80:0:0:0:211:32ff:fe83:fdfb,NASBONSAI._http._tcp.local.,"""vendor=Synology"" ""model=DS218+"" ""serial=17B0PCN787506"" ""version_major=6"" ""version_minor=2"" ""version_build=25426"" ""admin_port=5000"" ""secure_admin_port=5001"" ""mac_address=00:11:32:83:fd:fb""",NASBONSAI.local.,5000
8/1/2020 7:48,103.95.197.14,udp,5353,,mdns,135918,VN,HA NOI,HANOI,0,,,,,_workstation._tcp.local.;,oracledb.local.,103.95.197.14,fe80:0:0:0:fa70:fb22:314e:25b7,oracledb [00:0c:29:2f:48:0a]._workstation._tcp.local.,,,,,,,
8/1/2020 7:48,222.255.115.235,udp,5353,static.vnpt.vn,mdns,45899,VN,HA NOI,HANOI,517311,,,,,_workstation._tcp.local.;,,,,,,,,,,,
8/1/2020 7:48,14.232.189.161,udp,5353,static.vnpt.vn,mdns,45899,VN,HA NOI,HANOI,517311,,,,,_smb._tcp.local.; _http._tcp.local.; _afpovertcp._tcp.local.; _device-info._tcp.local.;,,,,,,,,,,,
8/1/2020 7:48,125.212.226.223,udp,5353,,mdns,38731,VN,HA NOI,HANOI,517312,,,,,_workstation._tcp.local.; _ssh._tcp.local.;,smartZone2.local.,125.212.226.223,,smartZone2 [00:0c:29:7b:49:16]._workstation._tcp.local.,,,,,,,
